Travel Period,Pax,Total Market Pax,Pax Share %,Blended Fare,Blended Rev,Revenue Share %,RPK,Blended Yield
2017-01,188836,188836,0.9964,156,29476313,0.9927,628857816,0.046873
2017-02,154537,154537,0.9967,154,23755500,0.9940,526884833,0.045087
2017-03,167520,167520,0.9970,154,25765398,0.9939,578597510,0.044531
2017-04,153477,153477,0.9974,158,24227084,0.9942,535966466,0.045203
2017-05,164668,164668,0.9979,148,24436500,0.9949,554476685,0.044071
2017-06,156600,156600,0.9961,154,24113572,0.9907,528645531,0.045614
2017-07,187572,187572,0.9960,188,35245221,0.9929,648171334,0.054376
2017-08,190847,190847,0.9964,291,55625989,0.9956,721916353,0.077053
2017-09,187828,187828,0.9961,279,52494772,0.9952,687950792,0.076306
2017-10,176466,176466,0.9965,179,31560740,0.9918,603763743,0.052273
2017-11,194011,194011,0.9959,115,22291548,0.9854,576027139,0.038699
2017-12,235302,235302,0.9965,116,27299210,0.9881,660430539,0.041335
2018-01,239170,239170,0.9963,122,29165146,0.9888,702503296,0.041516
2018-02,196549,196549,0.9963,123,24157783,0.9857,587196803,0.041141
2018-03,222610,222610,0.9963,121,26952390,0.9889,657695969,0.040980
2018-04,197013,197013,0.9959,123,24180143,0.9865,577150721,0.041896
2018-05,200442,200442,0.9956,126,25157184,0.9876,593155382,0.042412
2018-06,196857,196857,0.9948,131,25735738,0.9848,566118288,0.045460
2018-07,213476,213476,0.9934,253,54070973,0.9901,726515731,0.074425
2018-08,215130,215130,0.9923,234,50272835,0.9883,697783507,0.072046
2018-09,226680,226680,0.9945,282,63976334,0.9931,772204805,0.082849
2018-10,218835,218835,0.9950,130,28512045,0.9872,664733125,0.042892
2018-11,199877,199877,0.9951,137,27284703,0.9867,639554433,0.042662
2018-12,217511,217511,0.9947,143,31005999,0.9873,674487945,0.045970
2019-01,222086,222086,0.9941,148,32935111,0.9883,719969149,0.045745
2019-02,205934,205934,0.9943,147,30370452,0.9896,651472731,0.046618
2019-03,223283,223283,0.9936,156,34753440,0.9877,717967725,0.048405
2019-04,215651,215651,0.9925,158,33981108,0.9828,675562003,0.050301
2019-05,189421,189421,0.9923,187,35357994,0.9876,646216429,0.054715
2019-06,215214,215214,0.9923,162,34783203,0.9840,673084661,0.051677
2019-07,218117,218117,0.9802,300,65543687,0.9779,790502256,0.082914
2019-08,219172,219172,0.9913,262,57408267,0.9877,755100975,0.076027
2019-09,218281,218281,0.9767,237,51701160,0.9674,745812269,0.069322
2019-10,216885,216885,0.9790,155,33636276,0.9575,671480829,0.050093
2019-11,203975,203975,0.9822,171,34911332,0.9676,677342026,0.051542
2019-12,239754,239754,0.9923,182,43696156,0.9852,766355431,0.057018
2020-01,228201,228191,0.9877,199,45516682,0.9801,786449453,0.057876
2020-02,195336,191881,0.9817,188,36143547,0.9710,662593754,0.054549
2020-03,119022,60417,0.9885,190,11456984,0.9813,222416112,0.051511
2020-04,38976,408,0.9379,143,58199,0.8546,1079643,0.053906
2020-05,20657,7526,1.0000,188,1411267,1.0000,27191458,0.051901
2020-06,24787,10118,0.9991,234,2366678,0.9992,40585336,0.058314
2020-07,24033,14978,0.9989,375,5622759,0.9994,56303763,0.099865
2020-08,37830,24004,0.9946,291,6989088,0.9919,72214418,0.096782
2020-09,44400,26475,0.9951,325,8599723,0.9949,84017750,0.102356
2020-10,46857,33152,0.9938,342,11351501,0.9968,110129507,0.103074
2020-11,67195,37255,0.9966,274,10198938,0.9978,106429569,0.095828
2020-12,88157,37216,0.9967,237,8829368,0.9958,98299918,0.089821
2021-01,93136,54949,0.9951,300,16487805,0.9956,158226661,0.104204
2021-02,117554,59086,0.9939,277,16369794,0.9930,156355022,0.104696
2021-03,140083,75457,0.9963,245,18510970,0.9938,189430383,0.097719
2021-04,96441,57394,0.9964,301,17297376,0.9955,200615233,0.086222
2021-05,88648,53874,0.9962,229,12330492,0.9944,153818831,0.080162
2021-06,78393,50833,0.9958,182,9266516,0.9931,128777911,0.071957
2021-07,59043,46743,0.9931,286,13352841,0.9930,166576703,0.080160
2021-08,70919,59245,0.9934,223,13191115,0.9908,188399732,0.070017
2021-09,114811,79823,0.9928,214,17092822,0.9903,243748288,0.070125
2021-10,160910,160910,0.9944,220,35439571,0.9903,483459745,0.073304
2021-11,193402,193402,0.9945,232,44829752,0.9920,604586009,0.074150
2021-12,230737,126523,0.9977,259,32738156,0.9969,396685054,0.082529
